Date,Particulate_Matter,Ozon,Nitrogen_Dioxide,Sulfur_Dioxide
2022/3/5,83,2,10,6
2022/3/6,75,5,14,6
2022/3/7,107,7,15,6
2022/3/8,123,6,15,6
2022/3/9,96,2,14,6
2022/3/10,85,2,14,6
2022/3/11,76,3,9,6
2022/3/13,76,2,12,6
2022/3/14,79,4,16,6
2022/3/15,141,2,11,6
2022/3/16,98,3,10,6
2022/3/17,86,3,13,6
2022/3/18,110,2,9,6
2022/3/20,85,3,9,6
2022/3/21,93,4,11,6
2022/3/22,105,3,6,6
2022/3/27,86,2,12,6
2022/3/28,75,1,17,8
2021/10/1,94,7,7,5
2021/10/2,80,12,8,5
2021/10/3,109,12,9,5
2021/10/4,88,10,9,5
2021/10/5,94,14,9,5
2021/10/6,117,17,9,5
2021/10/7,138,16,7,5
2021/10/8,123,9,5,5
2021/10/9,90,8,2,4
2021/10/10,45,7,4,4
2021/10/11,42,12,4,5
2021/10/12,62,4,5,5
2021/10/13,63,5,3,4
2021/10/14,40,4,4,4
2021/10/15,34,7,4,4
2021/10/18,43,4,11,4
2021/10/19,86,8,12,5
2021/10/20,110,6,6,5
2021/10/21,67,9,5,5
2021/10/22,53,14,9,5
2021/10/23,98,17,8,5
2021/10/24,116,22,14,5
2021/10/25,143,26,17,7
2021/10/26,99,26,15,5
2021/10/27,15,8,12,5
2021/10/30,35,5,5,5
2021/10/31,83,3,6,5
2021/11/1,44,3,6,5
2021/11/2,71,4,13,5
2021/11/3,95,5,10,5
2021/11/4,76,5,8,5
2021/11/5,77,2,8,5
2021/11/6,76,3,8,5
2021/11/7,83,5,5,5
2021/11/8,54,7,10,5
2021/11/9,87,8,10,5
2021/11/10,93,9,13,5
2021/11/11,134,9,10,6
2021/11/12,132,10,8,5
2021/11/13,110,10,11,6
2021/11/14,150,6,18,7
2021/11/15,165,3,15,6
2021/11/16,171,3,8,5
2021/11/17,121,6,5,5
2021/11/18,65,3,18,6
2021/11/19,158,3,9,5
2021/11/20,100,3,7,5
2021/11/21,79,5,6,5
2021/11/22,55,5,6,5
2021/11/23,65,6,7,5
2021/11/24,83,4,12,5
2021/11/25,111,6,12,6
2021/11/26,142,11,10,6
2021/11/27,146,3,10,6
2021/11/28,154,10,24,6
2021/11/29,164,9,11,8
2021/11/30,130,10,11,6
2021/12/1,122,11,15,7
2021/12/2,151,10,18,6
2021/12/3,154,10,22,6
2021/12/4,166,12,17,6
2021/12/5,171,11,18,6
2021/12/6,174,9,19,8
2021/12/7,176,8,21,8
2021/12/8,184,6,14,6
2021/12/9,173,8,15,6
2021/12/10,169,6,17,5
2021/12/11,154,9,11,6
2021/12/12,153,5,9,6
2021/12/13,90,15,15,6
2021/12/14,162,5,20,7
2021/12/15,196,6,19,5
2021/12/16,170,6,11,6
2021/12/17,154,7,8,6
2021/12/18,108,5,11,6
2021/12/19,135,6,12,7
2021/12/20,158,6,14,5
2021/12/21,142,6,18,6
2021/12/22,181,5,18,7
2021/12/23,161,5,17,7
2021/12/24,175,4,17,6
2021/12/25,181,4,11,7
2021/12/26,152,1,5,5
2021/12/27,63,4,7,5
2021/12/28,99,2,7,6
2021/12/29,111,4,6,5
2021/12/30,84,2,8,5
2021/12/31,103,2,6,6
2022/1/1,147,5,11,6
2022/1/2,107,3,15,6
2021/7/2,57,9,4,4
2021/7/3,81,9,4,4
2021/7/4,76,8,5,3
2021/7/5,62,10,5,4
2021/7/11,58,7,8,5
2021/7/12,60,7,7,4
2021/7/13,61,7,7,4
2021/7/14,58,7,7,4
2021/7/15,54,7,9,4
2021/7/16,72,6,9,4
2021/7/17,70,7,9,4
2021/7/18,64,6,11,4
2021/7/19,106,10,9,4
2021/7/20,112,9,7,4
2021/7/21,66,8,10,4
2021/7/22,96,7,7,4
2021/7/23,61,7,5,4
2021/7/24,73,11,6,4
2021/7/25,82,15,5,4
2021/7/26,74,11,5,4
2021/7/27,57,11,6,4
2021/7/28,79,11,6,4
2021/7/29,109,12,6,4
2021/7/30,102,12,7,4
2021/7/31,96,8,4,4
2021/8/1,36,11,8,4
2021/8/2,71,15,9,4
2021/8/3,92,14,5,4
2021/8/4,113,13,6,4
2021/8/5,106,10,6,4
2021/8/6,105,11,5,5
2021/8/7,66,9,6,4
2021/8/8,110,9,7,4
2021/8/9,151,8,7,4
2021/8/10,56,8,5,4
2021/8/11,48,8,6,4
2021/8/12,63,7,6,4
2021/8/13,72,9,5,4
2021/8/14,61,8,6,4
2021/8/15,79,8,6,4
2021/8/16,64,9,5,4
2021/8/17,69,8,6,4
2021/8/18,55,8,6,4
2021/8/19,54,9,5,4
2021/8/22,72,9,6,5
2021/8/23,84,8,6,5
2021/8/24,89,7,4,4
2021/8/25,66,7,6,4
2021/8/26,64,8,6,4
2021/8/27,55,10,5,4
2021/8/28,57,12,5,5
2021/8/29,80,9,4,4
2021/8/30,93,10,6,5
2021/8/31,74,14,6,5
2021/9/1,83,11,4,4
2021/9/2,69,10,5,5
2021/9/3,92,11,5,4
2021/9/4,73,8,4,4
2021/9/5,47,14,6,4
2021/9/6,78,7,6,4
2021/9/7,95,8,5,4
2021/9/8,67,10,6,4
2021/9/9,45,14,6,4
2021/9/10,94,23,6,4
2021/9/11,93,42,6,5
2021/9/12,145,14,6,4
2021/9/13,128,8,6,4
2021/9/14,82,7,7,4
2021/9/15,68,7,8,4
2021/9/16,64,7,6,4
2021/9/17,47,7,6,5
2021/9/18,58,7,4,4
2021/9/19,70,13,6,5
2021/9/20,97,11,9,5
2021/9/21,115,7,9,6
2021/9/22,92,10,9,5
2021/9/23,90,7,6,4
2021/9/24,79,7,6,4
2021/9/25,62,8,6,4
2021/9/26,72,13,8,4
2021/9/27,73,15,8,4
2021/9/28,112,22,9,5
2021/9/29,124,19,9,5
2021/9/30,101,8,9,5
2021/4/1,107,6,6,3
2021/4/2,85,6,6,3
2021/4/3,86,6,6,3
2021/4/4,117,3,7,4
2021/4/5,122,9,6,4
2021/4/6,131,7,6,3
2021/4/7,101,7,6,3
2021/4/8,91,3,6,4
2021/4/9,95,3,6,4
2021/4/10,129,5,6,4
2021/4/11,123,6,6,3
2021/4/12,75,7,6,3
2021/4/13,70,7,6,4
2021/4/14,74,8,6,3
2021/4/15,69,8,6,4
2021/4/16,70,7,6,3
2021/4/17,76,3,6,4
2021/4/18,114,6,6,4
2021/4/19,83,8,6,4
2021/4/20,70,9,6,3
2021/4/23,70,9,6,4
2021/4/24,85,10,6,4
2021/4/25,72,9,6,4
2021/4/26,78,3,7,5
2021/4/27,103,6,6,4
2021/4/28,97,15,7,4
2021/5/3,67,7,6,3
2021/5/4,74,9,6,4
2021/5/5,62,9,6,4
2021/5/6,96,8,6,4
2021/5/7,88,8,6,4
2021/5/8,83,9,6,4
2021/5/10,85,13,6,3
2021/5/11,89,9,6,4
2021/5/12,84,10,6,4
2021/5/13,82,9,6,4
2021/5/14,70,10,6,4
2021/5/15,72,12,6,4
2021/5/16,83,12,6,4
2021/5/17,63,12,6,4
2021/5/18,54,9,6,4
2021/5/19,73,11,6,4
2021/5/20,81,11,6,4
2021/5/21,82,13,6,4
2021/5/22,79,16,6,4
2021/5/23,68,13,7,5
2021/5/24,54,6,6,4
2021/5/25,64,9,6,4
2021/5/26,95,10,6,4
2021/5/27,60,9,6,4
2021/5/29,98,12,6,4
2021/5/30,90,11,6,4
2021/5/31,99,9,6,4
2021/6/1,88,13,6,4
2021/6/2,104,12,6,4
2021/6/3,118,8,6,5
2021/6/4,78,13,7,5
2021/6/5,131,10,7,4
2021/6/6,178,9,7,5
2021/6/7,111,9,7,4
2021/6/8,85,9,7,4
2021/6/9,84,9,7,5
2021/6/10,73,9,8,4
2021/6/11,66,8,6,5
2021/6/12,72,8,6,4
2021/6/13,39,9,6,5
2021/6/14,62,9,7,5
2021/6/15,62,9,6,4
2021/6/16,63,11,6,3
2021/6/17,66,12,6,3
2021/6/18,62,10,6,3
2021/6/21,80,11,6,3
2021/6/22,124,9,6,3
2021/6/23,69,9,6,3
2021/6/24,85,8,5,4
2021/6/25,85,9,5,3
2021/6/26,43,9,5,3
2021/6/29,63,8,5,4
2021/6/30,58,8,5,3
2021/1/4,187,4,12,3
2021/1/5,232,6,6,2
2021/1/6,179,2,6,2
2021/1/7,160,4,3,1
2021/1/8,72,4,5,1
2021/1/9,111,4,6,1
2021/1/10,128,6,6,2
2021/1/11,133,8,9,2
2021/1/12,138,6,12,5
2021/1/13,173,9,14,6
2021/1/14,181,1,13,3
2021/1/15,203,1,11,5
2021/1/16,222,4,5,2
2021/1/17,170,9,8,1
2021/1/18,140,6,11,3
2021/1/19,168,3,12,3
2021/1/20,193,1,6,2
2021/1/24,188,2,11,1
2021/1/25,151,3,8,1
2021/1/26,121,4,10,1
2021/1/27,108,1,7,1
2021/1/30,182,1,10,3
2021/1/31,164,1,9,5
2021/2/1,120,2,11,4
2021/2/2,112,6,14,4
2021/2/3,123,5,16,4
2021/2/4,121,4,16,4
2021/2/5,126,7,16,4
2021/2/6,137,5,15,4
2021/2/7,141,7,11,4
2021/2/8,139,9,8,3
2021/2/9,77,10,10,4
2021/2/10,134,14,9,4
2021/2/11,105,12,9,3
2021/2/12,105,13,9,3
2021/2/13,96,11,11,4
2021/2/14,116,7,10,4
2021/2/15,119,6,10,4
2021/2/16,120,6,9,4
2021/2/17,111,6,6,5
